Title,link
Hong Kong’s candyman charms kids with toys made of candy,https://www.hindustantimes.com/it-s-viral/hong-kong-s-candyman-charms-kids-with-toys-made-of-candy/story-WswQ56ksC3JlzUU2WSEOgN.html
"‘Make me CM,’ Beed farmer asks Governor as Maharashtra deals with BJP-Sena differences",https://www.hindustantimes.com/it-s-viral/make-me-cm-beed-farmer-asks-governor-as-maharashtra-deals-with-bjp-sena-differences/story-LIJDmkfTDzoNzadLm4dzPK.html
"Airport authority seizes ‘gun’ from passenger’s bag, turns out to be this",https://www.hindustantimes.com/it-s-viral/airport-authority-seizes-gun-from-passenger-s-bag-turns-out-to-be-this/story-SiYosBTz3J1Jeh9v9icylL.html
Spotted in Ludhiana: A bike that doubles as a car. What would you name it?,https://www.hindustantimes.com/it-s-viral/spotted-in-ludhiana-a-bike-that-doubles-as-a-car-what-would-you-name-it/story-wd62euhPLuA5uDY2fvIblL.html
‘Life before’ memes are taking the Internet by storm. Here are the best ones,https://www.hindustantimes.com/it-s-viral/life-before-memes-are-taking-the-internet-by-storm-here-are-the-best-ones/story-NbO7dL9RYMqPKJFg6IdPkI.html
"Cafe dyes dogs to look like pandas, goes viral. Not everyone’s happy",https://www.hindustantimes.com/it-s-viral/cafe-dyes-dogs-to-look-like-pandas-goes-viral-not-everyone-s-happy/story-pnXGy6c5mTAOeHxZ4zzBaN.html
"Goats become firefighters, help save library from wildfire. Here’s how",https://www.hindustantimes.com/it-s-viral/goats-become-firefighters-help-save-library-from-wildfire-here-s-how/story-TUVvCcpZloaQN0XteRzomO.html
Man reconstructs plane for parties in backyard,https://www.hindustantimes.com/it-s-viral/man-reconstructs-plane-for-parties-in-backyard/story-CuWMN5crm2Sx6zklPxmjmI.html
"Tiger roams dangerously close to car during safari, forces it to reverse. Watch",https://www.hindustantimes.com/it-s-viral/tiger-roams-dangerously-close-to-car-during-safari-forces-it-to-reverse-watch/story-UjYMUwkTP8dwBHL7D2QlyH.html
‘Switch on Challenge’ sets social media abuzz. Here’s what it’s all about,https://www.hindustantimes.com/it-s-viral/switch-on-challenge-sets-social-media-abuzz-here-s-what-it-s-all-about/story-wF8F20vlrWgsraTlKxLSDL.html
